username,timestamp,content,mentions,hashtags,clean_content,signal
Soctr.IN,2025-07-11 12:14:53+00:00,"Soctr.IN
@MySoctr
·
20h
19.59% Movement in 8 days in  #VerandaLearning

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
139","@MySoctr, @MySoctr","#VerandaLearning, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket","soctrin


20h
1959 movement in 8 days in  verandalearning

check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket
show more
139",1
NSE Heatmaps,2025-07-11 12:14:36+00:00,"NSE Heatmaps
@nse_heatmaps
·
20h
Final heat map of the NIFTY 500's performance from today
NIFTY 500
11-07-2025
-188.70 (-0.80%)
#Nifty500 #NIFTY50 #NSE #StockMarket #MarketHeatmap
26",@nse_heatmaps,"#Nifty500, #NIFTY50, #NSE, #StockMarket, #MarketHeatmap","nse heatmaps


20h
final heat map of the nifty 500s performance from today
nifty 500
11072025
18870 080
nifty500 nifty50 nse stockmarket marketheatmap
26",0
Kumar Amritanshu,2025-07-11 12:13:37+00:00,"Kumar Amritanshu
@KumarAmritanshu
·
20h
Some trades are done. Some are on their way. Just like everything in the world - trees, flowers, or people - each moves at its own pace. But sooner or later, everything will hit its target. 
#Nifty50  #Sensex #DayTrading  #StockMarketIndia  #ZeeBusiness #CNBCAwaaz #MarketOutlook
Anuj Singhal अनुज सिंघल
119",@KumarAmritanshu,"#Nifty50, #Sensex, #DayTrading, #StockMarketIndia, #ZeeBusiness, #CNBCAwaaz, #MarketOutlook","kumar amritanshu


20h
some trades are done some are on their way just like everything in the world  trees flowers or people  each moves at its own pace but sooner or later everything will hit its target 
nifty50  sensex daytrading  stockmarketindia  zeebusiness cnbcawaaz marketoutlook
anuj singhal अनज सघल
119",1
Soctr.IN,2025-07-11 12:12:46+00:00,"Soctr.IN
@MySoctr
·
20h
27.29% Movement in 17 days in  #SteelExchange 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
1
130","@MySoctr, @MySoctr","#SteelExchange, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket","soctrin


20h
2729 movement in 17 days in  steelexchange 

check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket
show more
1
130",1
Soctr.IN,2025-07-11 12:12:10+00:00,"Soctr.IN
@MySoctr
·
20h
18.27% Movement in 18 days in  #Mukand 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
115","@MySoctr, @MySoctr","#Mukand, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket","soctrin


20h
1827 movement in 18 days in  mukand 

check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket
show more
115",1
Soctr.IN,2025-07-11 12:11:37+00:00,"Soctr.IN
@MySoctr
·
20h
22.35% Movement in 1 month in  #RattanIndia 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
147","@MySoctr, @MySoctr","#RattanIndia, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket","soctrin


20h
2235 movement in 1 month in  rattanindia 

check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket
show more
147",1
Soctr.IN,2025-07-11 12:11:08+00:00,"Soctr.IN
@MySoctr
·
20h
36.25% Movement in 1 month in  #RattanIndiaPower 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia
Show more
135","@MySoctr, @MySoctr","#RattanIndiaPower, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia","soctrin


20h
3625 movement in 1 month in  rattanindiapower 

check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia
show more
135",1
Soctr.IN,2025-07-11 12:10:24+00:00,"Soctr.IN
@MySoctr
·
20h
187.74% Movement in 1.5 yr in  #RefexInd 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
1
114","@MySoctr, @MySoctr","#RefexInd, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket","soctrin


20h
18774 movement in 15 yr in  refexind 

check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket
show more
1
114",1
Green Red Stocks,2025-07-11 12:10:10+00:00,"Green Red Stocks
@GreenRedStocks
·
20h
Replying to 
@GreenRedStocks
Blasted....Momentum continues...now at 456.5
#VIPIND #Nifty50 #NiftyBank
48","@GreenRedStocks, @GreenRedStocks","#VIPIND, #Nifty50, #NiftyBank","green red stocks


20h
replying to 

blastedmomentum continuesnow at 4565
vipind nifty50 niftybank
48",0
Soctr.IN,2025-07-11 12:09:56+00:00,"Soctr.IN
@MySoctr
·
20h
152.23% Movement in 1.5 yr in  #CartradeTech

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
113","@MySoctr, @MySoctr","#CartradeTech, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket","soctrin


20h
15223 movement in 15 yr in  cartradetech

check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket
show more
113",1
Soctr.IN,2025-07-11 12:09:25+00:00,"Soctr.IN
@MySoctr
·
20h
158.06% Movement in 1.5 yr in  #DeepakFertilizers

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia
Show more
109","@MySoctr, @MySoctr","#DeepakFertilizers, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia","soctrin


20h
15806 movement in 15 yr in  deepakfertilizers

check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia
show more
109",1
Soctr.IN,2025-07-11 12:08:46+00:00,"Soctr.IN
@MySoctr
·
20h
259.47% Movement in 1.5 yr in  #Wockhardt  

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
1
199","@MySoctr, @MySoctr","#Wockhardt, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket","soctrin


20h
25947 movement in 15 yr in  wockhardt  

check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket
show more
1
199",1
Soctr.IN,2025-07-11 12:08:14+00:00,"Soctr.IN
@MySoctr
·
20h
185.68% Movement in 1.5 yr in  #SundaramFinance
 
Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia
Show more
108","@MySoctr, @MySoctr","#SundaramFinance, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia","soctrin


20h
18568 movement in 15 yr in  sundaramfinance
 
check latest chartpatternson   and follow 



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia
show more
108",1
Viveck,2025-07-11 12:08:05+00:00,"Viveck
@rai_gv
·
20h
Check out my #ASAHIINDIA analysis on 
@TradingView
: https://tradingview.com/chart/ASAHIINDIA/aazGGtPJ-ASAHI-INDIA-GLASS-Bullish-Flag-Pole-Breakout-Daily-T-F/… 

#stockstofocus #StockMarket #NIFTY50 #TRADINGVIEWINDIA
ASAHI INDIA GLASS- Bullish Flag & Pole Breakout (Daily T/F) for NSE:ASAHIINDIA by raigvivek
From tradingview.com
1
50","@rai_gv, @TradingView","#ASAHIINDIA, #stockstofocus, #StockMarket, #NIFTY50, #TRADINGVIEWINDIA","viveck


20h
check out my asahiindia analysis on 

  

stockstofocus stockmarket nifty50 tradingviewindia
asahi india glass bullish flag  pole breakout daily tf for nseasahiindia by raigvivek
from tradingviewcom
1
50",1
ValueMulticaps,2025-07-11 12:06:26+00:00,"ValueMulticaps
@ValueMulticaps
·
20h
 #DSP MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any       

#MutualFundsSahiHai #StockMarket #StockMarketindia #nifty50 #ValueMulticaps #stocks #mutualfunds #stockstowatch #PGHH #NEWGEN #FINEORG
Show more
1
2
2
428",@ValueMulticaps,"#DSP, #MutualFundsSahiHai, #StockMarket, #StockMarketindia, #nifty50, #ValueMulticaps, #stocks, #mutualfunds, #stockstowatch, #PGHH, #NEWGEN, #FINEORG","valuemulticaps


20h
 dsp mfs jun 2025 portfolio shakeup
heres what they bought  sold last month

note including arbitrage positions if any       

mutualfundssahihai stockmarket stockmarketindia nifty50 valuemulticaps stocks mutualfunds stockstowatch pghh newgen fineorg
show more
1
2
2
428",0
Soctr.IN,2025-07-11 12:05:18+00:00,"Soctr.IN
@MySoctr
·
20h
#TopGainers #Nifty50

Check #trending #chartpatterns and #Updates on http://my.soctr.in/x and ""follow""  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets #Breakout #nse
Show more
110","@MySoctr, @MySoctr","#TopGainers, #Nifty50, #trending, #chartpatterns, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StocksInFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #StockMarket, #trading, #stockmarkets, #Breakout, #nse","soctrin


20h
topgainers nifty50

check trending chartpatterns and updates on  and follow  



nifty nifty50 investing breakoutstocks stocksinfocus stockstowatch stocks stockstobuy stockstotrade stockmarket trading stockmarkets breakout nse
show more
110",1
The Thursday Trader ⅕,2025-07-11 12:05:18+00:00,"The Thursday Trader ⅕
@UjwalRanjanTTT
·
20h
Verified and validated! Here's my verified P&L from 
@aliceblue_india
, supported by 
@1lyOptions
 #VerifiedBy1lyOptions #TransparentTrading #Nifty #NiftyBank #Nifty50 #NiftyOptions https://verifiedby.1lyoptions.com/verified/getVerifiedpnlMetaData?portfolio_key=2b190bee56b628abeff2d02ae42e8a75…
1
20
378","@UjwalRanjanTTT, @aliceblue_india, @1lyOptions","#VerifiedBy1lyOptions, #TransparentTrading, #Nifty, #NiftyBank, #Nifty50, #NiftyOptions","the thursday trader ⅕


20h
verified and validated heres my verified pl from 

 supported by 

 verifiedby1lyoptions transparenttrading nifty niftybank nifty50 niftyoptions 
1
20
378",0
Soctr.IN,2025-07-11 12:04:11+00:00,"Soctr.IN
@MySoctr
·
20h
#Nifty50HeatMap 

Follow  
@MySoctr

For more #MarketUpdate & Check our Website http://soctr.in

#MarketTrends #StockMarkets #Nifty #BankNifty #FinNifty #NiftyMidcap #NiftySmallCap #sensex #nifty50 #investing #BreakoutStocks #StocksInFocus #StocksToWatch #StocksToBuy
Show more
116","@MySoctr, @MySoctr","#Nifty50HeatMap, #MarketUpdate, #MarketTrends, #StockMarkets, #Nifty, #BankNifty, #FinNifty, #NiftyMidcap, #NiftySmallCap, #sensex, #nifty50, #investing, #BreakoutStocks, #StocksInFocus, #StocksToWatch, #StocksToBuy","soctrin


20h
nifty50heatmap 

follow  


for more marketupdate  check our website 

markettrends stockmarkets nifty banknifty finnifty niftymidcap niftysmallcap sensex nifty50 investing breakoutstocks stocksinfocus stockstowatch stockstobuy
show more
116",1
NSE India,2025-07-11 12:04:06+00:00,"NSE India
@NSEIndia
·
20h
Market Update for the day.

See more:
http://bit.ly/3jwE0Qg
http://bit.ly/3JzOnNP

#NSEUpdates #Nifty #Nifty50 #NSEIndia #StockMarketIndia #ShareMarket #MarketUpdates
6
2.4K",@NSEIndia,"#NSEUpdates, #Nifty, #Nifty50, #NSEIndia, #StockMarketIndia, #ShareMarket, #MarketUpdates","nse india


20h
market update for the day

see more



nseupdates nifty nifty50 nseindia stockmarketindia sharemarket marketupdates
6
24k",0
Soctr.IN,2025-07-11 12:03:44+00:00,"Soctr.IN
@MySoctr
·
20h
#ClosingBell – #MarketPerformanceToday

For more #Marketupdates & #Insights visit http://my.soctr.in/x and ""follow""
@Mysoctr


#MarketTrends #StockMarkets #Nifty #BankNifty #FinNifty #NiftyMidcap #NiftySmallCap #sensex #nifty50 #investing #BreakoutStocks #StocksInFocus
Show more
114","@MySoctr, @Mysoctr","#ClosingBell, #MarketPerformanceToday, #Marketupdates, #Insights, #MarketTrends, #StockMarkets, #Nifty, #BankNifty, #FinNifty, #NiftyMidcap, #NiftySmallCap, #sensex, #nifty50, #investing, #BreakoutStocks, #StocksInFocus","soctrin


20h
closingbell  marketperformancetoday

for more marketupdates  insights visit  and follow



markettrends stockmarkets nifty banknifty finnifty niftymidcap niftysmallcap sensex nifty50 investing breakoutstocks stocksinfocus
show more
114",0
Raj Agrawal,2025-07-11 12:03:17+00:00,"Raj Agrawal
@Agrawal_Raj
·
20h
[Automated]

#Nifty50 #NiftyNext50 #MidCap50 #SmallCap50
#NSE Share Performance as on 11-Jul-2025


Quote
Raj Agrawal
@Agrawal_Raj
·
May 22, 2021
Disclaimer and Usage Guidelines: Data published is with intent for providing assistance and helping out. All data is gathered from publicly available sites and APIs. Do not guarantee 100% accuracy of the data. For upto-date information, please refer to the respective sites.
34","@Agrawal_Raj, @Agrawal_Raj","#Nifty50, #NiftyNext50, #MidCap50, #SmallCap50, #NSE","raj agrawal


20h
automated

nifty50 niftynext50 midcap50 smallcap50
nse share performance as on 11jul2025


quote
raj agrawal


may 22 2021
disclaimer and usage guidelines data published is with intent for providing assistance and helping out all data is gathered from publicly available sites and apis do not guarantee 100 accuracy of the data for uptodate information please refer to the respective sites
34",0
Soctr.IN,2025-07-11 12:03:17+00:00,"Soctr.IN
@MySoctr
·
20h
#Market Wrap Up

Follow  
@MySoctr

For more #MarketUpdate & Check our Website http://soctr.in

#MarketTrends #StockMarkets #Nifty #BankNifty #FinNifty #NiftyMidcap #NiftySmallCap #sensex #nifty50 #investing #BreakoutStocks #StocksInFocus #StocksToWatch #StocksToBuy
Show more
1
118","@MySoctr, @MySoctr","#Market, #MarketUpdate, #MarketTrends, #StockMarkets, #Nifty, #BankNifty, #FinNifty, #NiftyMidcap, #NiftySmallCap, #sensex, #nifty50, #investing, #BreakoutStocks, #StocksInFocus, #StocksToWatch, #StocksToBuy","soctrin


20h
market wrap up

follow  


for more marketupdate  check our website 

markettrends stockmarkets nifty banknifty finnifty niftymidcap niftysmallcap sensex nifty50 investing breakoutstocks stocksinfocus stockstowatch stockstobuy
show more
1
118",1
ValueMulticaps,2025-07-11 12:02:57+00:00,"ValueMulticaps
@ValueMulticaps
·
20h
 #SBI MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any                      

#StockMarket #StockMarketindia #ValueMulticaps #nifty50 #stocks #mutualfunds #MutualFundsSahiHai #StocksToWatch #KALPATARU
Show more
2
2
533",@ValueMulticaps,"#SBI, #StockMarket, #StockMarketindia, #ValueMulticaps, #nifty50, #stocks, #mutualfunds, #MutualFundsSahiHai, #StocksToWatch, #KALPATARU","valuemulticaps


20h
 sbi mfs jun 2025 portfolio shakeup
heres what they bought  sold last month

note including arbitrage positions if any                      

stockmarket stockmarketindia valuemulticaps nifty50 stocks mutualfunds mutualfundssahihai stockstowatch kalpataru
show more
2
2
533",0
Soctr.IN,2025-07-11 12:02:12+00:00,"Soctr.IN
@MySoctr
·
20h
#paradeepPhosphates #chart 

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #breakoutstock #stockmarketindia #StockMarket #trading
Show more
109","@MySoctr, @MySoctr","#paradeepPhosphates, #chart, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #breakoutstock, #stockmarketindia, #StockMarket, #trading","soctrin


20h
paradeepphosphates chart 

for latest charts and updates visit  and follow  



nifty nifty50 investing breakoutstocks stockslnfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket trading
show more
109",1
Soctr.IN,2025-07-11 12:01:32+00:00,"Soctr.IN
@MySoctr
·
20h
#DalmiaBharatSugar #chart 

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #breakoutstock #stockmarketindia #StockMarket #trading
Show more
100","@MySoctr, @MySoctr","#DalmiaBharatSugar, #chart, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #breakoutstock, #stockmarketindia, #StockMarket, #trading","soctrin


20h
dalmiabharatsugar chart 

for latest charts and updates visit  and follow  



nifty nifty50 investing breakoutstocks stockslnfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket trading
show more
100",1
Soctr.IN,2025-07-11 12:00:52+00:00,"Soctr.IN
@MySoctr
·
20h
20.30%+ movement in  #ReligareEnterprises Limited  since we shared approx 1 month back.

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy
Show more
90","@MySoctr, @MySoctr","#ReligareEnterprises, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy","soctrin


20h
2030 movement in  religareenterprises limited  since we shared approx 1 month back

for latest charts and updates visit  and follow  



nifty nifty50 investing breakoutstocks stockslnfocus stockstowatch stocks stockstobuy
show more
90",1
Soctr.IN,2025-07-11 11:59:58+00:00,"Soctr.IN
@MySoctr
·
21h
60.03%+ movement in  #GabrielIndia Limited  since we shared approx 1 month back.

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade
Show more
96","@MySoctr, @MySoctr","#GabrielIndia, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade","soctrin


21h
6003 movement in  gabrielindia limited  since we shared approx 1 month back

for latest charts and updates visit  and follow  



nifty nifty50 investing breakoutstocks stockslnfocus stockstowatch stocks stockstobuy stockstotrade
show more
96",1
Soctr.IN,2025-07-11 11:57:57+00:00,"Soctr.IN
@MySoctr
·
21h
#SardaEnergy #chart 

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #breakoutstock #stockmarketindia #StockMarket #trading
Show more
3
124","@MySoctr, @MySoctr","#SardaEnergy, #chart, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #breakoutstock, #stockmarketindia, #StockMarket, #trading","soctrin


21h
sardaenergy chart 

for latest charts and updates visit  and follow  



nifty nifty50 investing breakoutstocks stockslnfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket trading
show more
3
124",1
Soctr.IN,2025-07-11 11:57:13+00:00,"Soctr.IN
@MySoctr
·
21h
#PiramalEnt 

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #breakoutstock #stockmarketindia #StockMarket #trading #StockMarkets
Show more
96","@MySoctr, @MySoctr","#PiramalEnt, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #breakoutstock, #stockmarketindia, #StockMarket, #trading, #StockMarkets","soctrin


21h
piramalent 

for latest charts and updates visit  and follow  



nifty nifty50 investing breakoutstocks stockslnfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket trading stockmarkets
show more
96",1
Soctr.IN,2025-07-11 11:56:33+00:00,"Soctr.IN
@MySoctr
·
21h
#Rallis #chart 

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #breakoutstock #stockmarketindia #StockMarket #trading #StockMarkets
Show more
111","@MySoctr, @MySoctr","#Rallis, #chart, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #breakoutstock, #stockmarketindia, #StockMarket, #trading, #StockMarkets","soctrin


21h
rallis chart 

for latest charts and updates visit  and follow  



nifty nifty50 investing breakoutstocks stockslnfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket trading stockmarkets
show more
111",1
Invest Inc.,2025-07-11 11:56:32+00:00,"Invest Inc.
@investincfin
·
21h
Good results from #eleconengineering 

In Capital Goods Sector, YoY Growth must be checked

#nifty #nifty50
1
73",@investincfin,"#eleconengineering, #nifty, #nifty50","invest inc


21h
good results from eleconengineering 

in capital goods sector yoy growth must be checked

nifty nifty50
1
73",0
Soctr.IN,2025-07-11 11:55:58+00:00,"Soctr.IN
@MySoctr
·
21h
#DixonTech #chart 

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #breakoutstock #stockmarketindia #StockMarket #trading
Show more
111","@MySoctr, @MySoctr","#DixonTech, #chart, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #breakoutstock, #stockmarketindia, #StockMarket, #trading","soctrin


21h
dixontech chart 

for latest charts and updates visit  and follow  



nifty nifty50 investing breakoutstocks stockslnfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket trading
show more
111",1
ValueMulticaps,2025-07-11 11:55:30+00:00,"ValueMulticaps
@ValueMulticaps
·
21h
 #ICICI PRU MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any                   

#MutualFundsSahiHai #StockMarket #ValueMulticaps #nifty50 #mutualfunds #stocks #niftybank #StockMarketindia
Show more
1
1
372",@ValueMulticaps,"#ICICI, #MutualFundsSahiHai, #StockMarket, #ValueMulticaps, #nifty50, #mutualfunds, #stocks, #niftybank, #StockMarketindia","valuemulticaps


21h
 icici pru mfs jun 2025 portfolio shakeup
heres what they bought  sold last month

note including arbitrage positions if any                   

mutualfundssahihai stockmarket valuemulticaps nifty50 mutualfunds stocks niftybank stockmarketindia
show more
1
1
372",0
Soctr.IN,2025-07-11 11:55:16+00:00,"Soctr.IN
@MySoctr
·
21h
#EIDParry #chart 

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #breakoutstock #stockmarketindia #StockMarket #trading #StockMarkets
Show more
110","@MySoctr, @MySoctr","#EIDParry, #chart, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #breakoutstock, #stockmarketindia, #StockMarket, #trading, #StockMarkets","soctrin


21h
eidparry chart 

for latest charts and updates visit  and follow  



nifty nifty50 investing breakoutstocks stockslnfocus stockstowatch stocks stockstobuy stockstotrade breakoutstock stockmarketindia stockmarket trading stockmarkets
show more
110",1
