username,timestamp,content,mentions,hashtags
𝓥𝓪𝓼𝓾𝓭𝓮𝓿𝓭𝓪𝓼𝓲 ,2025-07-11T12:19:28.000Z,"𝓥𝓪𝓼𝓾𝓭𝓮𝓿𝓭𝓪𝓼𝓲 
@spinixmeow
·
20h
Waise 

26000 pe 731 k upar band hua hai 
#Nifty50 so are we going back to 23204 23500....?
Quote
𝓥𝓪𝓼𝓾𝓭𝓮𝓿𝓭𝓪𝓼𝓲 
@spinixmeow
·
Jun 18
#Nifty50 26000 Pe holding 730 to 980 now

Rally over 
This PE should reach 2091 to 2307
Facing resistance at 1211 
If this reaches 2307 we will come 23649
If it breaks 980 to 720
Then it will go 441 n nifty 25373+ 
Let's see
23500 view intact x.com/spinixmeow/sta…
131","@spinixmeow, @spinixmeow","#Nifty50, #Nifty50"
Markets Today,2025-07-11T12:19:21.000Z,"Markets Today
@marketsday
·
20h
#NIPPON MF’s Jun 2025 Portfolio Shake-Up!

Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any

#ValueMulticaps #StockMarket #mutualfunds #MutualFundsSahiHai #stocks #StockMarketindia #nifty50 #stockstowatch #indianstockmarket #ELLEN
Show more
Quote
ValueMulticaps
@ValueMulticaps
·
21h
 #NIPPON MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any

#ValueMulticaps #StockMarket #mutualfunds #MutualFundsSahiHai #stocks #StockMarketindia #nifty50 #stockstowatch #indianstockmarket #ELLEN
Show more
1
186","@marketsday, @ValueMulticaps","#NIPPON, #ValueMulticaps, #StockMarket, #mutualfunds, #MutualFundsSahiHai, #stocks, #StockMarketindia, #nifty50, #stockstowatch, #indianstockmarket, #ELLEN, #NIPPON, #ValueMulticaps, #StockMarket, #mutualfunds, #MutualFundsSahiHai, #stocks, #StockMarketindia, #nifty50, #stockstowatch, #indianstockmarket, #ELLEN"
QuickScalper,2025-07-11T12:19:13.000Z,"QuickScalper
@pavana324
·
20h
Replying to 
@pavana324
(2 of 2)

Start small. 
Take small. 
Learn the game. 

Once you master it, just scale your capital, not the points. 

The market doesn’t owe more for more risk.

#Nifty #Nifty50  #NiftyBank #StockMarket
80","@pavana324, @pavana324","#Nifty, #Nifty50, #NiftyBank, #StockMarket"
Markets Today,2025-07-11T12:19:03.000Z,"Markets Today
@marketsday
·
20h
#PPFAS MF’s Jun 2025 Portfolio Shake-Up!

Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any

#ValueMulticaps #StockMarket #mutualfunds #MutualFundsSahiHai #stocks #StockMarketindia #nifty50 #StocksToWatch #indianstockmarket #ZYDUSWELL
Show more
Quote
ValueMulticaps
@ValueMulticaps
·
21h
 #PPFAS MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any 

#ValueMulticaps #StockMarket #mutualfunds #MutualFundsSahiHai #stocks #StockMarketindia #nifty50 #StocksToWatch #indianstockmarket #ZYDUSWELL
Show more
3
314","@marketsday, @ValueMulticaps","#PPFAS, #ValueMulticaps, #StockMarket, #mutualfunds, #MutualFundsSahiHai, #stocks, #StockMarketindia, #nifty50, #StocksToWatch, #indianstockmarket, #ZYDUSWELL, #PPFAS, #ValueMulticaps, #StockMarket, #mutualfunds, #MutualFundsSahiHai, #stocks, #StockMarketindia, #nifty50, #StocksToWatch, #indianstockmarket, #ZYDUSWELL"
Soctr.IN,2025-07-11T12:19:02.000Z,"Soctr.IN
@MySoctr
·
20h
7.23% Movement in 9 days in  #Bosch 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket #Trading
Show more
207","@MySoctr, @MySoctr","#Bosch, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket, #Trading"
Markets Today,2025-07-11T12:18:33.000Z,"Markets Today
@marketsday
·
20h
#ICICI PRU MF’s Jun 2025 Portfolio Shake-Up!

Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any

#MutualFundsSahiHai #StockMarket #ValueMulticaps #nifty50 #mutualfunds #stocks #niftybank #StockMarketindia #StocksToWatch #TINNARUB
Show more
Quote
ValueMulticaps
@ValueMulticaps
·
21h
 #ICICI PRU MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any                   

#MutualFundsSahiHai #StockMarket #ValueMulticaps #nifty50 #mutualfunds #stocks #niftybank #StockMarketindia
Show more
1
196","@marketsday, @ValueMulticaps","#ICICI, #MutualFundsSahiHai, #StockMarket, #ValueMulticaps, #nifty50, #mutualfunds, #stocks, #niftybank, #StockMarketindia, #StocksToWatch, #TINNARUB, #ICICI, #MutualFundsSahiHai, #StockMarket, #ValueMulticaps, #nifty50, #mutualfunds, #stocks, #niftybank, #StockMarketindia"
Soctr.IN,2025-07-11T12:18:32.000Z,"Soctr.IN
@MySoctr
·
20h
9.47% Movement in 9 days in  #VSTTillers Tractors 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia
Show more
192","@MySoctr, @MySoctr","#VSTTillers, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia"
 Capital Trends ,2025-07-11T12:18:12.000Z," Capital Trends 
@CapitalTrends
·
20h
Best-performing #Nifty50 stocks today! View our dashboard at http://capitaltrends.in
8
10
107",@CapitalTrends,#Nifty50
Soctr.IN,2025-07-11T12:18:02.000Z,"Soctr.IN
@MySoctr
·
20h
7.52% Movement in 10 days in  #MankindPharma  

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
190","@MySoctr, @MySoctr","#MankindPharma, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
QuickScalper,2025-07-11T12:17:59.000Z,"QuickScalper
@pavana324
·
20h
Hello Fellow Traders!

This is why I always say, don’t get lured by market moves. This trader made 7+L in a month with hard work, but lost it all in a single day of emotional trading. 

One bad day can undo weeks of discipline. (1 of 2)

#Nifty #Nifty50  #NiftyBank #StockMarket
1
75",@pavana324,"#Nifty, #Nifty50, #NiftyBank, #StockMarket"
Markets Today,2025-07-11T12:17:42.000Z,"Markets Today
@marketsday
·
20h
#SBI MF’s Jun 2025 Portfolio Shake-Up!

Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any

#StockMarket #StockMarketindia #ValueMulticaps #nifty50 #stocks #mutualfunds #MutualFundsSahiHai #StocksToWatch #KALPATARU #hdbfs
Quote
ValueMulticaps
@ValueMulticaps
·
20h
 #SBI MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any                      

#StockMarket #StockMarketindia #ValueMulticaps #nifty50 #stocks #mutualfunds #MutualFundsSahiHai #StocksToWatch #KALPATARU
Show more
1
249","@marketsday, @ValueMulticaps","#SBI, #StockMarket, #StockMarketindia, #ValueMulticaps, #nifty50, #stocks, #mutualfunds, #MutualFundsSahiHai, #StocksToWatch, #KALPATARU, #hdbfs, #SBI, #StockMarket, #StockMarketindia, #ValueMulticaps, #nifty50, #stocks, #mutualfunds, #MutualFundsSahiHai, #StocksToWatch, #KALPATARU"
Soctr.IN,2025-07-11T12:17:22.000Z,"Soctr.IN
@MySoctr
·
20h
21.84% Movement in 11 days in  #Wendt 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
235","@MySoctr, @MySoctr","#Wendt, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
Markets Today,2025-07-11T12:17:12.000Z,"Markets Today
@marketsday
·
20h
#DSP MF’s Jun 2025 Portfolio Shake-Up!

Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any

#MutualFundsSahiHai #StockMarket #StockMarketindia #nifty50 #ValueMulticaps #stocks #mutualfunds #stockstowatch #PGHH #NEWGEN #FINEORG #CERA
Show more
Quote
ValueMulticaps
@ValueMulticaps
·
20h
 #DSP MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any       

#MutualFundsSahiHai #StockMarket #StockMarketindia #nifty50 #ValueMulticaps #stocks #mutualfunds #stockstowatch #PGHH #NEWGEN #FINEORG
Show more
204","@marketsday, @ValueMulticaps","#DSP, #MutualFundsSahiHai, #StockMarket, #StockMarketindia, #nifty50, #ValueMulticaps, #stocks, #mutualfunds, #stockstowatch, #PGHH, #NEWGEN, #FINEORG, #CERA, #DSP, #MutualFundsSahiHai, #StockMarket, #StockMarketindia, #nifty50, #ValueMulticaps, #stocks, #mutualfunds, #stockstowatch, #PGHH, #NEWGEN, #FINEORG"
Soctr.IN,2025-07-11T12:16:44.000Z,"Soctr.IN
@MySoctr
·
20h
18.65% Movement in 12 days in  #NGLFineChem 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
1
156","@MySoctr, @MySoctr","#NGLFineChem, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
Soctr.IN,2025-07-11T12:16:00.000Z,"Soctr.IN
@MySoctr
·
20h
12.18% Movement in 5 days in  #DatamaticsGlobal 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia
Show more
166","@MySoctr, @MySoctr","#DatamaticsGlobal, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia"
Soctr.IN,2025-07-11T12:15:30.000Z,"Soctr.IN
@MySoctr
·
20h
11.21% Movement in 8 days in  #TourismFinance  

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia
Show more
1
1
162","@MySoctr, @MySoctr","#TourismFinance, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia"
Soctr.IN,2025-07-11T12:14:53.000Z,"Soctr.IN
@MySoctr
·
20h
19.59% Movement in 8 days in  #VerandaLearning

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
139","@MySoctr, @MySoctr","#VerandaLearning, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
NSE Heatmaps,2025-07-11T12:14:36.000Z,"NSE Heatmaps
@nse_heatmaps
·
20h
Final heat map of the NIFTY 500's performance from today
NIFTY 500
11-07-2025
-188.70 (-0.80%)
#Nifty500 #NIFTY50 #NSE #StockMarket #MarketHeatmap
26",@nse_heatmaps,"#Nifty500, #NIFTY50, #NSE, #StockMarket, #MarketHeatmap"
Kumar Amritanshu,2025-07-11T12:13:37.000Z,"Kumar Amritanshu
@KumarAmritanshu
·
20h
Some trades are done. Some are on their way. Just like everything in the world - trees, flowers, or people - each moves at its own pace. But sooner or later, everything will hit its target. 
#Nifty50  #Sensex #DayTrading  #StockMarketIndia  #ZeeBusiness #CNBCAwaaz #MarketOutlook
Anuj Singhal अनुज सिंघल
119",@KumarAmritanshu,"#Nifty50, #Sensex, #DayTrading, #StockMarketIndia, #ZeeBusiness, #CNBCAwaaz, #MarketOutlook"
Soctr.IN,2025-07-11T12:12:46.000Z,"Soctr.IN
@MySoctr
·
20h
27.29% Movement in 17 days in  #SteelExchange 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
1
130","@MySoctr, @MySoctr","#SteelExchange, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
Soctr.IN,2025-07-11T12:12:10.000Z,"Soctr.IN
@MySoctr
·
20h
18.27% Movement in 18 days in  #Mukand 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
115","@MySoctr, @MySoctr","#Mukand, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
Soctr.IN,2025-07-11T12:11:37.000Z,"Soctr.IN
@MySoctr
·
20h
22.35% Movement in 1 month in  #RattanIndia 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
147","@MySoctr, @MySoctr","#RattanIndia, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
Soctr.IN,2025-07-11T12:11:08.000Z,"Soctr.IN
@MySoctr
·
20h
36.25% Movement in 1 month in  #RattanIndiaPower 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia
Show more
135","@MySoctr, @MySoctr","#RattanIndiaPower, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia"
Soctr.IN,2025-07-11T12:10:24.000Z,"Soctr.IN
@MySoctr
·
20h
187.74% Movement in 1.5 yr in  #RefexInd 

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
1
114","@MySoctr, @MySoctr","#RefexInd, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
Green Red Stocks,2025-07-11T12:10:10.000Z,"Green Red Stocks
@GreenRedStocks
·
20h
Replying to 
@GreenRedStocks
Blasted....Momentum continues...now at 456.5
#VIPIND #Nifty50 #NiftyBank
48","@GreenRedStocks, @GreenRedStocks","#VIPIND, #Nifty50, #NiftyBank"
Soctr.IN,2025-07-11T12:09:56.000Z,"Soctr.IN
@MySoctr
·
20h
152.23% Movement in 1.5 yr in  #CartradeTech

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
113","@MySoctr, @MySoctr","#CartradeTech, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
Soctr.IN,2025-07-11T12:09:25.000Z,"Soctr.IN
@MySoctr
·
20h
158.06% Movement in 1.5 yr in  #DeepakFertilizers

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia
Show more
109","@MySoctr, @MySoctr","#DeepakFertilizers, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia"
Soctr.IN,2025-07-11T12:08:46.000Z,"Soctr.IN
@MySoctr
·
20h
259.47% Movement in 1.5 yr in  #Wockhardt  

Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia #StockMarket
Show more
1
199","@MySoctr, @MySoctr","#Wockhardt, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia, #StockMarket"
Soctr.IN,2025-07-11T12:08:14.000Z,"Soctr.IN
@MySoctr
·
20h
185.68% Movement in 1.5 yr in  #SundaramFinance
 
Check Latest #Chartpatternson http://my.soctr.in/x  And ""follow"" 
@MySoctr


#Nifty #Nifty50 #Investing #Breakoutstocks #StocksInFocus #StocksToWatch #Stocks #StocksToBuy #StocksToTrade #Breakoutstock #Stockmarketindia
Show more
108","@MySoctr, @MySoctr","#SundaramFinance, #Chartpatternson, #Nifty, #Nifty50, #Investing, #Breakoutstocks, #StocksInFocus, #StocksToWatch, #Stocks, #StocksToBuy, #StocksToTrade, #Breakoutstock, #Stockmarketindia"
Viveck,2025-07-11T12:08:05.000Z,"Viveck
@rai_gv
·
20h
Check out my #ASAHIINDIA analysis on 
@TradingView
: https://tradingview.com/chart/ASAHIINDIA/aazGGtPJ-ASAHI-INDIA-GLASS-Bullish-Flag-Pole-Breakout-Daily-T-F/… 

#stockstofocus #StockMarket #NIFTY50 #TRADINGVIEWINDIA
ASAHI INDIA GLASS- Bullish Flag & Pole Breakout (Daily T/F) for NSE:ASAHIINDIA by raigvivek
From tradingview.com
1
50","@rai_gv, @TradingView","#ASAHIINDIA, #stockstofocus, #StockMarket, #NIFTY50, #TRADINGVIEWINDIA"
ValueMulticaps,2025-07-11T12:06:26.000Z,"ValueMulticaps
@ValueMulticaps
·
20h
 #DSP MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any       

#MutualFundsSahiHai #StockMarket #StockMarketindia #nifty50 #ValueMulticaps #stocks #mutualfunds #stockstowatch #PGHH #NEWGEN #FINEORG
Show more
1
2
2
428",@ValueMulticaps,"#DSP, #MutualFundsSahiHai, #StockMarket, #StockMarketindia, #nifty50, #ValueMulticaps, #stocks, #mutualfunds, #stockstowatch, #PGHH, #NEWGEN, #FINEORG"
Soctr.IN,2025-07-11T12:05:18.000Z,"Soctr.IN
@MySoctr
·
20h
#TopGainers #Nifty50

Check #trending #chartpatterns and #Updates on http://my.soctr.in/x and ""follow""  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StocksInFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #StockMarket #trading #stockmarkets #Breakout #nse
Show more
110","@MySoctr, @MySoctr","#TopGainers, #Nifty50, #trending, #chartpatterns, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StocksInFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #StockMarket, #trading, #stockmarkets, #Breakout, #nse"
The Thursday Trader ⅕,2025-07-11T12:05:18.000Z,"The Thursday Trader ⅕
@UjwalRanjanTTT
·
20h
Verified and validated! Here's my verified P&L from 
@aliceblue_india
, supported by 
@1lyOptions
 #VerifiedBy1lyOptions #TransparentTrading #Nifty #NiftyBank #Nifty50 #NiftyOptions https://verifiedby.1lyoptions.com/verified/getVerifiedpnlMetaData?portfolio_key=2b190bee56b628abeff2d02ae42e8a75…
1
20
378","@UjwalRanjanTTT, @aliceblue_india, @1lyOptions","#VerifiedBy1lyOptions, #TransparentTrading, #Nifty, #NiftyBank, #Nifty50, #NiftyOptions"
Soctr.IN,2025-07-11T12:04:11.000Z,"Soctr.IN
@MySoctr
·
20h
#Nifty50HeatMap 

Follow  
@MySoctr

For more #MarketUpdate & Check our Website http://soctr.in

#MarketTrends #StockMarkets #Nifty #BankNifty #FinNifty #NiftyMidcap #NiftySmallCap #sensex #nifty50 #investing #BreakoutStocks #StocksInFocus #StocksToWatch #StocksToBuy
Show more
116","@MySoctr, @MySoctr","#Nifty50HeatMap, #MarketUpdate, #MarketTrends, #StockMarkets, #Nifty, #BankNifty, #FinNifty, #NiftyMidcap, #NiftySmallCap, #sensex, #nifty50, #investing, #BreakoutStocks, #StocksInFocus, #StocksToWatch, #StocksToBuy"
NSE India,2025-07-11T12:04:06.000Z,"NSE India
@NSEIndia
·
20h
Market Update for the day.

See more:
http://bit.ly/3jwE0Qg
http://bit.ly/3JzOnNP

#NSEUpdates #Nifty #Nifty50 #NSEIndia #StockMarketIndia #ShareMarket #MarketUpdates
6
2.4K",@NSEIndia,"#NSEUpdates, #Nifty, #Nifty50, #NSEIndia, #StockMarketIndia, #ShareMarket, #MarketUpdates"
Soctr.IN,2025-07-11T12:03:44.000Z,"Soctr.IN
@MySoctr
·
20h
#ClosingBell – #MarketPerformanceToday

For more #Marketupdates & #Insights visit http://my.soctr.in/x and ""follow""
@Mysoctr


#MarketTrends #StockMarkets #Nifty #BankNifty #FinNifty #NiftyMidcap #NiftySmallCap #sensex #nifty50 #investing #BreakoutStocks #StocksInFocus
Show more
114","@MySoctr, @Mysoctr","#ClosingBell, #MarketPerformanceToday, #Marketupdates, #Insights, #MarketTrends, #StockMarkets, #Nifty, #BankNifty, #FinNifty, #NiftyMidcap, #NiftySmallCap, #sensex, #nifty50, #investing, #BreakoutStocks, #StocksInFocus"
Raj Agrawal,2025-07-11T12:03:17.000Z,"Raj Agrawal
@Agrawal_Raj
·
20h
[Automated]

#Nifty50 #NiftyNext50 #MidCap50 #SmallCap50
#NSE Share Performance as on 11-Jul-2025


Quote
Raj Agrawal
@Agrawal_Raj
·
May 22, 2021
Disclaimer and Usage Guidelines: Data published is with intent for providing assistance and helping out. All data is gathered from publicly available sites and APIs. Do not guarantee 100% accuracy of the data. For upto-date information, please refer to the respective sites.
34","@Agrawal_Raj, @Agrawal_Raj","#Nifty50, #NiftyNext50, #MidCap50, #SmallCap50, #NSE"
Soctr.IN,2025-07-11T12:03:17.000Z,"Soctr.IN
@MySoctr
·
20h
#Market Wrap Up

Follow  
@MySoctr

For more #MarketUpdate & Check our Website http://soctr.in

#MarketTrends #StockMarkets #Nifty #BankNifty #FinNifty #NiftyMidcap #NiftySmallCap #sensex #nifty50 #investing #BreakoutStocks #StocksInFocus #StocksToWatch #StocksToBuy
Show more
1
118","@MySoctr, @MySoctr","#Market, #MarketUpdate, #MarketTrends, #StockMarkets, #Nifty, #BankNifty, #FinNifty, #NiftyMidcap, #NiftySmallCap, #sensex, #nifty50, #investing, #BreakoutStocks, #StocksInFocus, #StocksToWatch, #StocksToBuy"
ValueMulticaps,2025-07-11T12:02:57.000Z,"ValueMulticaps
@ValueMulticaps
·
20h
 #SBI MF’s Jun 2025 Portfolio Shake-Up!
Here’s what they bought & sold last month...

Note: Including Arbitrage Positions if any                      

#StockMarket #StockMarketindia #ValueMulticaps #nifty50 #stocks #mutualfunds #MutualFundsSahiHai #StocksToWatch #KALPATARU
Show more
2
2
533",@ValueMulticaps,"#SBI, #StockMarket, #StockMarketindia, #ValueMulticaps, #nifty50, #stocks, #mutualfunds, #MutualFundsSahiHai, #StocksToWatch, #KALPATARU"
Soctr.IN,2025-07-11T12:02:12.000Z,"Soctr.IN
@MySoctr
·
20h
#paradeepPhosphates #chart 

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #breakoutstock #stockmarketindia #StockMarket #trading
Show more
109","@MySoctr, @MySoctr","#paradeepPhosphates, #chart, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #breakoutstock, #stockmarketindia, #StockMarket, #trading"
Soctr.IN,2025-07-11T12:01:32.000Z,"Soctr.IN
@MySoctr
·
20h
#DalmiaBharatSugar #chart 

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy #StocksToTrade #breakoutstock #stockmarketindia #StockMarket #trading
Show more
100","@MySoctr, @MySoctr","#DalmiaBharatSugar, #chart, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy, #StocksToTrade, #breakoutstock, #stockmarketindia, #StockMarket, #trading"
Soctr.IN,2025-07-11T12:00:52.000Z,"Soctr.IN
@MySoctr
·
20h
20.30%+ movement in  #ReligareEnterprises Limited  since we shared approx 1 month back.

For latest #Charts and #Updates visit http://my.soctr.in/x and Follow  
@MySoctr


#Nifty #Nifty50 #investing #breakoutstocks #StockslnFocus #StocksToWatch #stocks #StocksToBuy
Show more
90","@MySoctr, @MySoctr","#ReligareEnterprises, #Charts, #Updates, #Nifty, #Nifty50, #investing, #breakoutstocks, #StockslnFocus, #StocksToWatch, #stocks, #StocksToBuy"
